id,xpos,ypos,building
b_0,-2.1326055500000005,57.18018455,semidetached_house
b_1,-2.13277765,57.180145399999994,semidetached_house
b_2,-2.1328669959197892,57.18011290954274,semidetached_house
b_3,-2.13348475,57.17996920000001,detached
b_4,-2.1332927683835736,57.180026894948604,detached
b_5,-2.133038804803044,57.180066294119044,detached
b_6,-2.1304540699702588,57.17836515932109,detached
b_7,-2.130680838640739,57.17838292712555,detached
b_8,-2.1308868240947367,57.178389354440306,detached
b_9,-2.131062646309862,57.17839258428117,detached
b_10,-2.1312688741343924,57.17839400471275,detached
b_11,-2.1314778015503446,57.17841255801576,detached
b_12,-2.13170305,57.17841835000001,detached
b_13,-2.1318722979265505,57.178432782495385,detached
b_14,-2.13209029314603,57.178437172169765,detached
b_15,-2.132915074744244,57.17848059456041,detached
b_16,-2.133221849999999,57.178509649999995,detached
b_17,-2.1334691736158335,57.17852473589398,detached
b_18,-2.1336625929297623,57.178553925549544,detached
b_19,-2.1339168394994807,57.17859562038407,detached
b_20,-2.13255911247329,57.178916280080664,semidetached_house
b_21,-2.132704419353083,57.178911751371736,semidetached_house
b_22,-2.1323048834000105,57.17949052543985,apartments
b_23,-2.1331703602844825,57.17925073096841,apartments
b_24,-2.1317759731399737,57.178971194809336,semidetached_house
b_25,-2.13192655,57.1789621,semidetached_house
b_26,-2.1321789771548803,57.178944756000405,semidetached_house
b_27,-2.132304822843159,57.178936194029994,semidetached_house
b_28,-2.1327235990519897,57.17919222442828,semidetached_house
b_29,-2.1327779999999996,57.17935035,semidetached_house
b_30,-2.1326833470428417,57.17939621633312,semidetached_house
b_31,-2.13219655,57.1792375,semidetached_house
b_32,-2.1320457,57.1792475,semidetached_house
b_33,-2.1316492,57.1792394,semidetached_house
b_34,-2.1315308689629866,57.17921415513055,semidetached_house
b_35,-2.13134085,57.17912665000001,semidetached_house
b_36,-2.1312685999999994,57.179071449999995,semidetached_house
b_37,-2.1312341999999997,57.17891435000001,semidetached_house
b_38,-2.131961588874458,57.17947970897923,semidetached_house
b_39,-2.1318468999999998,57.17954340000001,semidetached_house
b_40,-2.1317378943116463,57.17967209875171,semidetached_house
b_41,-2.131604654277585,57.179704067844646,semidetached_house
b_42,-2.130566386705594,57.17983547531583,semidetached_house
b_43,-2.13066535,57.1798167,semidetached_house
b_44,-2.1308635000000007,57.17976124999999,semidetached_house
b_45,-2.13102102280113,57.17975742501821,semidetached_house
b_46,-2.1312345326036852,57.1797174957622,semidetached_house
b_47,-2.1313348790828095,57.17969954007145,semidetached_house
b_48,-2.130802521076701,57.17901505528514,semidetached_house
b_49,-2.130831527515557,57.17922078126695,semidetached_house
b_50,-2.13079575,57.1791682,semidetached_house
b_51,-2.1308040000000004,57.17948690000001,semidetached_house
b_52,-2.1309483499999997,57.17945855,semidetached_house
b_53,-2.1311657582309773,57.17940739702215,semidetached_house
b_54,-2.1312929692321583,57.17938959503615,semidetached_house
