id,start,end,maxspeed,junction
l_152,n_id304,n_id305,None,None
l_153,n_id306,n_id307,None,None
l_154,n_id308,n_id309,None,None
l_155,n_id310,n_id311,None,None
l_156,n_id312,n_id313,None,None
l_157,n_id314,n_id315,None,None
l_158,n_id316,n_id317,None,None
l_159,n_id318,n_id319,None,None
l_160,n_id320,n_id321,None,None
l_161,n_id322,n_id323,None,None
l_162,n_id324,n_id325,None,None
l_163,n_id326,n_id327,None,None
l_164,n_id328,n_id329,None,None
l_165,n_id330,n_id331,30 mph,None
l_166,n_id332,n_id333,30 mph,None
l_167,n_id334,n_id335,30 mph,None
l_168,n_id336,n_id337,30 mph,None
l_169,n_id338,n_id339,30 mph,None
l_170,n_id340,n_id341,30 mph,None
l_171,n_id342,n_id343,30 mph,None
l_172,n_id344,n_id345,30 mph,None
l_173,n_id346,n_id347,30 mph,None
l_174,n_id348,n_id349,30 mph,None
l_175,n_id350,n_id351,30 mph,None
l_176,n_id352,n_id353,30 mph,None
l_177,n_id354,n_id355,30 mph,None
l_178,n_id356,n_id357,30 mph,None
l_179,n_id358,n_id359,30 mph,None
l_180,n_id360,n_id361,30 mph,None
l_181,n_id362,n_id363,20 mph,None
l_182,n_id364,n_id365,20 mph,None
l_183,n_id366,n_id367,20 mph,None
l_184,n_id368,n_id369,20 mph,None
l_185,n_id370,n_id371,20 mph,None
l_186,n_id372,n_id373,20 mph,None
l_187,n_id374,n_id375,20 mph,None
l_188,n_id376,n_id377,20 mph,None
l_189,n_id378,n_id379,20 mph,None
l_190,n_id380,n_id381,20 mph,None
l_191,n_id382,n_id383,20 mph,None
l_192,n_id384,n_id385,20 mph,None
l_193,n_id386,n_id387,20 mph,None
l_194,n_id388,n_id389,20 mph,None
l_195,n_id390,n_id391,20 mph,None
l_196,n_id392,n_id393,20 mph,None
l_197,n_id394,n_id395,20 mph,None
l_198,n_id396,n_id397,20 mph,None
l_199,n_id398,n_id399,20 mph,None
l_200,n_id400,n_id401,20 mph,None
l_201,n_id402,n_id403,20 mph,None
l_202,n_id404,n_id405,20 mph,None
l_203,n_id406,n_id407,20 mph,None
l_204,n_id408,n_id409,20 mph,None
l_205,n_id410,n_id411,20 mph,None
l_206,n_id412,n_id413,20 mph,None
l_207,n_id414,n_id415,None,None
l_208,n_id416,n_id417,None,None
l_209,n_id418,n_id419,None,None
l_210,n_id420,n_id421,None,None
l_211,n_id422,n_id423,None,None
l_212,n_id424,n_id425,None,None
l_213,n_id426,n_id427,None,None
l_214,n_id428,n_id429,None,None
l_215,n_id430,n_id431,None,None
l_216,n_id432,n_id433,None,None
l_217,n_id434,n_id435,None,None
l_218,n_id436,n_id437,None,None
l_219,n_id438,n_id439,None,None
l_220,n_id440,n_id441,None,None
l_221,n_id442,n_id443,None,None
l_222,n_id444,n_id445,None,None
l_223,n_id446,n_id447,None,None
l_224,n_id448,n_id449,None,None
l_225,n_id450,n_id451,None,None
l_226,n_id452,n_id453,None,None
l_227,n_id454,n_id455,None,None
l_228,n_id456,n_id457,None,None
l_229,n_id458,n_id459,20 mph,None
l_230,n_id460,n_id461,20 mph,None
l_231,n_id462,n_id463,20 mph,None
l_232,n_id464,n_id465,20 mph,None
l_233,n_id466,n_id467,20 mph,None
l_234,n_id468,n_id469,20 mph,None
l_235,n_id470,n_id471,20 mph,None
l_236,n_id472,n_id473,20 mph,None
l_237,n_id474,n_id475,20 mph,None
l_238,n_id476,n_id477,20 mph,None
l_239,n_id478,n_id479,20 mph,None
l_240,n_id480,n_id481,20 mph,None
l_241,n_id482,n_id483,20 mph,None
l_242,n_id484,n_id485,20 mph,None
l_243,n_id486,n_id487,20 mph,None
l_244,n_id488,n_id489,20 mph,None
l_245,n_id490,n_id491,20 mph,None
l_246,n_id492,n_id493,20 mph,None
l_247,n_id494,n_id495,20 mph,None
l_248,n_id496,n_id497,20 mph,None
l_249,n_id498,n_id499,20 mph,None
l_250,n_id500,n_id501,20 mph,None
l_251,n_id502,n_id503,20 mph,None
l_252,n_id504,n_id505,20 mph,None
l_253,n_id506,n_id507,20 mph,None
l_254,n_id508,n_id509,20 mph,None
l_255,n_id510,n_id511,20 mph,None
l_256,n_id512,n_id513,20 mph,None
l_257,n_id514,n_id515,20 mph,None
l_258,n_id516,n_id517,20 mph,None
l_259,n_id518,n_id519,20 mph,None
l_260,n_id520,n_id521,20 mph,None
l_261,n_id522,n_id523,20 mph,None
l_262,n_id524,n_id525,20 mph,None
l_263,n_id526,n_id527,20 mph,None
l_264,n_id528,n_id529,20 mph,None
l_265,n_id530,n_id531,20 mph,None
l_266,n_id532,n_id533,20 mph,None
l_267,n_id534,n_id535,20 mph,None
l_268,n_id536,n_id537,20 mph,None
l_269,n_id538,n_id539,20 mph,None
l_270,n_id540,n_id541,20 mph,None
l_271,n_id542,n_id543,20 mph,None
l_272,n_id544,n_id545,20 mph,None
l_273,n_id546,n_id547,20 mph,None
l_274,n_id548,n_id549,20 mph,None
l_275,n_id550,n_id551,20 mph,None
l_276,n_id552,n_id553,20 mph,None
l_277,n_id554,n_id555,20 mph,None
l_278,n_id556,n_id557,20 mph,None
l_279,n_id558,n_id559,20 mph,None
l_280,n_id560,n_id561,20 mph,None
l_281,n_id562,n_id563,20 mph,None
l_282,n_id564,n_id565,20 mph,None
l_283,n_id566,n_id567,20 mph,None
l_284,n_id568,n_id569,20 mph,None
l_285,n_id570,n_id571,20 mph,None
l_286,n_id572,n_id573,20 mph,None
l_287,n_id574,n_id575,20 mph,None
l_288,n_id576,n_id577,20 mph,None
l_289,n_id578,n_id579,20 mph,None
l_290,n_id580,n_id581,20 mph,None
l_291,n_id582,n_id583,20 mph,None
l_292,n_id584,n_id585,20 mph,None
l_293,n_id586,n_id587,20 mph,None
l_294,n_id588,n_id589,20 mph,None
l_295,n_id590,n_id591,20 mph,None
l_296,n_id592,n_id593,20 mph,None
l_297,n_id594,n_id595,20 mph,None
l_298,n_id596,n_id597,20 mph,None
l_299,n_id598,n_id599,20 mph,None
l_300,n_id600,n_id601,20 mph,None
l_301,n_id602,n_id603,20 mph,None
l_302,n_id604,n_id605,20 mph,None
l_303,n_id606,n_id607,20 mph,None
l_304,n_id608,n_id609,20 mph,None
l_305,n_id610,n_id611,20 mph,None
l_306,n_id612,n_id613,20 mph,None
l_307,n_id614,n_id615,20 mph,None
l_308,n_id616,n_id617,20 mph,None
l_309,n_id618,n_id619,20 mph,None
l_310,n_id620,n_id621,20 mph,None
l_311,n_id622,n_id623,20 mph,None
l_312,n_id624,n_id625,20 mph,None
l_313,n_id626,n_id627,20 mph,None
l_314,n_id628,n_id629,20 mph,None
l_315,n_id630,n_id631,20 mph,None
l_316,n_id632,n_id633,20 mph,None
l_317,n_id634,n_id635,20 mph,None
l_318,n_id636,n_id637,20 mph,None
l_319,n_id638,n_id639,20 mph,None
l_320,n_id640,n_id641,20 mph,None
l_321,n_id642,n_id643,20 mph,None
l_322,n_id644,n_id645,20 mph,None
l_323,n_id646,n_id647,20 mph,None
l_324,n_id648,n_id649,20 mph,None
l_325,n_id650,n_id651,20 mph,None
l_326,n_id652,n_id653,20 mph,None
l_327,n_id654,n_id655,20 mph,None
l_328,n_id656,n_id657,20 mph,None
l_329,n_id658,n_id659,20 mph,None
l_330,n_id660,n_id661,20 mph,None
l_331,n_id662,n_id663,20 mph,None
l_332,n_id664,n_id665,20 mph,None
l_333,n_id666,n_id667,20 mph,None
l_334,n_id668,n_id669,20 mph,None
l_335,n_id670,n_id671,20 mph,None
l_336,n_id672,n_id673,20 mph,None
l_337,n_id674,n_id675,20 mph,None
l_338,n_id676,n_id677,20 mph,None
l_339,n_id678,n_id679,20 mph,None
l_340,n_id680,n_id681,20 mph,None
l_341,n_id682,n_id683,20 mph,None
l_342,n_id684,n_id685,20 mph,None
l_343,n_id686,n_id687,20 mph,None
l_344,n_id688,n_id689,20 mph,None
l_345,n_id690,n_id691,20 mph,None
l_346,n_id692,n_id693,20 mph,None
l_347,n_id694,n_id695,20 mph,None
l_348,n_id696,n_id697,20 mph,None
l_349,n_id698,n_id699,20 mph,None
l_350,n_id700,n_id701,20 mph,None
l_351,n_id702,n_id703,20 mph,None
l_352,n_id704,n_id705,20 mph,None
l_353,n_id706,n_id707,20 mph,None
l_354,n_id708,n_id709,20 mph,None
l_355,n_id710,n_id711,20 mph,None
l_356,n_id712,n_id713,20 mph,None
l_357,n_id714,n_id715,20 mph,None
l_358,n_id716,n_id717,20 mph,None
l_359,n_id718,n_id719,20 mph,None
l_360,n_id720,n_id721,20 mph,None
l_361,n_id722,n_id723,20 mph,None
l_362,n_id724,n_id725,20 mph,None
l_363,n_id726,n_id727,20 mph,None
l_364,n_id728,n_id729,20 mph,None
l_365,n_id730,n_id731,20 mph,None
l_366,n_id732,n_id733,20 mph,None
l_367,n_id734,n_id735,20 mph,None
l_368,n_id736,n_id737,20 mph,None
l_369,n_id738,n_id739,20 mph,None
l_370,n_id740,n_id741,20 mph,None
l_371,n_id742,n_id743,20 mph,None
l_372,n_id744,n_id745,20 mph,None
l_373,n_id746,n_id747,20 mph,None
l_374,n_id748,n_id749,20 mph,None
l_375,n_id750,n_id751,20 mph,None
l_376,n_id752,n_id753,20 mph,None
l_377,n_id754,n_id755,20 mph,None
l_378,n_id756,n_id757,20 mph,None
l_379,n_id758,n_id759,20 mph,None
l_380,n_id760,n_id761,20 mph,None
l_381,n_id762,n_id763,20 mph,None
l_382,n_id764,n_id765,20 mph,None
l_383,n_id766,n_id767,20 mph,None
l_384,n_id768,n_id769,20 mph,None
l_385,n_id770,n_id771,20 mph,None
l_386,n_id772,n_id773,20 mph,None
l_387,n_id774,n_id775,20 mph,None
l_388,n_id776,n_id777,20 mph,None
l_389,n_id778,n_id779,20 mph,None
l_390,n_id780,n_id781,20 mph,None
l_391,n_id782,n_id783,20 mph,None
l_392,n_id784,n_id785,20 mph,None
l_393,n_id786,n_id787,20 mph,None
l_394,n_id788,n_id789,20 mph,None
l_395,n_id790,n_id791,20 mph,None
l_396,n_id792,n_id793,20 mph,None
l_397,n_id794,n_id795,20 mph,None
l_398,n_id796,n_id797,None,None
l_399,n_id798,n_id799,None,None
l_400,n_id800,n_id801,20 mph,None
l_401,n_id802,n_id803,20 mph,None
l_402,n_id804,n_id805,20 mph,None
l_403,n_id806,n_id807,20 mph,None
l_404,n_id808,n_id809,20 mph,None
l_405,n_id810,n_id811,20 mph,None
l_406,n_id812,n_id813,20 mph,None
l_407,n_id814,n_id815,20 mph,None
l_408,n_id816,n_id817,20 mph,None
l_409,n_id818,n_id819,20 mph,None
l_410,n_id820,n_id821,20 mph,None
l_411,n_id822,n_id823,20 mph,None
l_412,n_id824,n_id825,20 mph,None
l_413,n_id826,n_id827,20 mph,None
l_414,n_id828,n_id829,20 mph,None
l_415,n_id830,n_id831,20 mph,None
l_416,n_id832,n_id833,20 mph,None
l_417,n_id834,n_id835,20 mph,None
l_418,n_id836,n_id837,20 mph,None
l_419,n_id838,n_id839,20 mph,None
l_420,n_id840,n_id841,20 mph,None
l_421,n_id842,n_id843,20 mph,None
l_422,n_id844,n_id845,20 mph,None
l_423,n_id846,n_id847,20 mph,None
l_424,n_id848,n_id849,20 mph,None
l_425,n_id850,n_id851,20 mph,None
l_426,n_id852,n_id853,20 mph,None
l_427,n_id854,n_id855,20 mph,None
l_428,n_id856,n_id857,20 mph,None
l_429,n_id858,n_id859,20 mph,None
l_430,n_id860,n_id861,20 mph,None
l_431,n_id862,n_id863,20 mph,None
l_432,n_id864,n_id865,20 mph,None
l_433,n_id866,n_id867,20 mph,None
l_434,n_id868,n_id869,20 mph,None
l_435,n_id870,n_id871,20 mph,None
l_436,n_id872,n_id873,20 mph,None
l_437,n_id874,n_id875,20 mph,None
l_438,n_id876,n_id877,20 mph,None
l_439,n_id878,n_id879,20 mph,None
l_440,n_id880,n_id881,20 mph,None
l_441,n_id882,n_id883,20 mph,None
l_442,n_id884,n_id885,20 mph,None
l_443,n_id886,n_id887,20 mph,None
l_444,n_id888,n_id889,20 mph,None
l_445,n_id890,n_id891,20 mph,None
l_446,n_id892,n_id893,20 mph,None
l_447,n_id894,n_id895,20 mph,None
l_448,n_id896,n_id897,20 mph,None
l_449,n_id898,n_id899,20 mph,None
l_450,n_id900,n_id901,20 mph,None
l_451,n_id902,n_id903,20 mph,None
l_452,n_id904,n_id905,20 mph,None
l_453,n_id906,n_id907,20 mph,None
l_454,n_id908,n_id909,20 mph,None
l_455,n_id910,n_id911,20 mph,None
l_456,n_id912,n_id913,20 mph,None
l_457,n_id914,n_id915,20 mph,None
l_458,n_id916,n_id917,20 mph,None
l_459,n_id918,n_id919,20 mph,None
l_460,n_id920,n_id921,20 mph,None
l_461,n_id922,n_id923,20 mph,None
l_462,n_id924,n_id925,20 mph,None
l_463,n_id926,n_id927,20 mph,None
l_464,n_id928,n_id929,20 mph,None
l_465,n_id930,n_id931,20 mph,None
l_466,n_id932,n_id933,20 mph,None
l_467,n_id934,n_id935,20 mph,None
l_468,n_id936,n_id937,20 mph,None
l_469,n_id938,n_id939,20 mph,None
l_470,n_id940,n_id941,20 mph,None
l_471,n_id942,n_id943,20 mph,None
l_472,n_id944,n_id945,20 mph,None
l_473,n_id946,n_id947,20 mph,None
l_474,n_id948,n_id949,20 mph,None
l_475,n_id950,n_id951,20 mph,None
l_476,n_id952,n_id953,20 mph,None
l_477,n_id954,n_id955,20 mph,None
l_478,n_id956,n_id957,20 mph,None
l_479,n_id958,n_id959,20 mph,None
l_480,n_id960,n_id961,20 mph,None
l_481,n_id962,n_id963,20 mph,None
l_482,n_id964,n_id965,20 mph,None
l_483,n_id966,n_id967,20 mph,None
l_484,n_id968,n_id969,20 mph,None
l_485,n_id970,n_id971,20 mph,None
l_486,n_id972,n_id973,20 mph,None
l_487,n_id974,n_id975,20 mph,None
l_488,n_id976,n_id977,20 mph,None
l_489,n_id978,n_id979,20 mph,None
l_490,n_id980,n_id981,20 mph,None
l_491,n_id982,n_id983,30 mph,None
l_492,n_id984,n_id985,30 mph,None
l_493,n_id986,n_id987,30 mph,None
l_494,n_id988,n_id989,30 mph,None
l_495,n_id990,n_id991,30 mph,None
l_496,n_id992,n_id993,30 mph,None
l_497,n_id994,n_id995,30 mph,None
l_498,n_id996,n_id997,30 mph,None
l_499,n_id998,n_id999,30 mph,None
l_500,n_id1000,n_id1001,30 mph,None
l_501,n_id1002,n_id1003,30 mph,None
l_502,n_id1004,n_id1005,30 mph,None
l_503,n_id1006,n_id1007,30 mph,None
l_504,n_id1008,n_id1009,30 mph,None
l_505,n_id1010,n_id1011,30 mph,None
l_506,n_id1012,n_id1013,30 mph,None
l_507,n_id1014,n_id1015,30 mph,None
l_508,n_id1016,n_id1017,30 mph,None
l_509,n_id1018,n_id1019,30 mph,None
l_510,n_id1020,n_id1021,30 mph,None
l_511,n_id1022,n_id1023,30 mph,None
l_512,n_id1024,n_id1025,30 mph,None
l_513,n_id1026,n_id1027,30 mph,None
l_514,n_id1028,n_id1029,30 mph,None
l_515,n_id1030,n_id1031,30 mph,None
l_516,n_id1032,n_id1033,None,None
l_517,n_id1034,n_id1035,None,None
l_518,n_id1036,n_id1037,None,None
l_519,n_id1038,n_id1039,None,None
l_520,n_id1040,n_id1041,None,None
l_521,n_id1042,n_id1043,None,None
l_522,n_id1044,n_id1045,None,None
l_523,n_id1046,n_id1047,None,None
l_524,n_id1048,n_id1049,None,None
l_525,n_id1050,n_id1051,None,None
l_526,n_id1052,n_id1053,None,None
l_527,n_id1054,n_id1055,None,None
l_528,n_id1056,n_id1057,None,None
l_529,n_id1058,n_id1059,None,None
l_530,n_id1060,n_id1061,None,None
l_531,n_id1062,n_id1063,None,None
l_532,n_id1064,n_id1065,None,None
l_533,n_id1066,n_id1067,None,None
l_534,n_id1068,n_id1069,None,None
l_535,n_id1070,n_id1071,None,None
l_536,n_id1072,n_id1073,30 mph,None
l_537,n_id1074,n_id1075,30 mph,None
l_538,n_id1076,n_id1077,30 mph,None
l_539,n_id1078,n_id1079,30 mph,None
l_540,n_id1080,n_id1081,30 mph,None
l_541,n_id1082,n_id1083,30 mph,None
l_542,n_id1084,n_id1085,30 mph,None
l_543,n_id1086,n_id1087,30 mph,None
l_544,n_id1088,n_id1089,30 mph,None
l_545,n_id1090,n_id1091,30 mph,None
l_546,n_id1092,n_id1093,30 mph,None
l_547,n_id1094,n_id1095,30 mph,None
l_548,n_id1096,n_id1097,20 mph,None
l_549,n_id1098,n_id1099,20 mph,None
l_550,n_id1100,n_id1101,20 mph,None
l_551,n_id1102,n_id1103,20 mph,None
l_552,n_id1104,n_id1105,20 mph,None
l_553,n_id1106,n_id1107,20 mph,None
l_554,n_id1108,n_id1109,20 mph,None
l_555,n_id1110,n_id1111,20 mph,None
l_556,n_id1112,n_id1113,20 mph,None
l_557,n_id1114,n_id1115,20 mph,None
l_558,n_id1116,n_id1117,20 mph,None
l_559,n_id1118,n_id1119,20 mph,None
l_560,n_id1120,n_id1121,20 mph,None
l_561,n_id1122,n_id1123,20 mph,None
l_562,n_id1124,n_id1125,20 mph,None
l_563,n_id1126,n_id1127,20 mph,None
l_564,n_id1128,n_id1129,20 mph,None
l_565,n_id1130,n_id1131,20 mph,None
l_566,n_id1132,n_id1133,20 mph,None
l_567,n_id1134,n_id1135,20 mph,None
l_568,n_id1136,n_id1137,20 mph,None
l_569,n_id1138,n_id1139,20 mph,None
l_570,n_id1140,n_id1141,20 mph,None
l_571,n_id1142,n_id1143,20 mph,None
l_572,n_id1144,n_id1145,20 mph,None
l_573,n_id1146,n_id1147,20 mph,None
l_574,n_id1148,n_id1149,20 mph,None
l_575,n_id1150,n_id1151,20 mph,None
l_576,n_id1152,n_id1153,20 mph,None
l_577,n_id1154,n_id1155,20 mph,None
l_578,n_id1156,n_id1157,20 mph,None
l_579,n_id1158,n_id1159,20 mph,None
l_580,n_id1160,n_id1161,20 mph,None
l_581,n_id1162,n_id1163,20 mph,None
l_582,n_id1164,n_id1165,20 mph,None
l_583,n_id1166,n_id1167,20 mph,None
l_584,n_id1168,n_id1169,30 mph,None
l_585,n_id1170,n_id1171,30 mph,None
l_586,n_id1172,n_id1173,30 mph,None
l_587,n_id1174,n_id1175,30 mph,None
l_588,n_id1176,n_id1177,30 mph,None
l_589,n_id1178,n_id1179,30 mph,None
l_590,n_id1180,n_id1181,30 mph,None
l_591,n_id1182,n_id1183,30 mph,None
l_592,n_id1184,n_id1185,30 mph,None
l_593,n_id1186,n_id1187,30 mph,None
l_594,n_id1188,n_id1189,30 mph,None
l_595,n_id1190,n_id1191,30 mph,None
l_596,n_id1192,n_id1193,20 mph,None
l_597,n_id1194,n_id1195,20 mph,None
l_598,n_id1196,n_id1197,20 mph,None
l_599,n_id1198,n_id1199,20 mph,None
l_600,n_id1200,n_id1201,20 mph,None
l_601,n_id1202,n_id1203,20 mph,None
l_602,n_id1204,n_id1205,None,None
l_603,n_id1206,n_id1207,None,None
l_604,n_id1208,n_id1209,None,None
l_605,n_id1210,n_id1211,None,None
l_606,n_id1212,n_id1213,None,None
l_607,n_id1214,n_id1215,None,None
l_608,n_id1216,n_id1217,None,None
l_609,n_id1218,n_id1219,None,None
l_610,n_id1220,n_id1221,None,None
l_611,n_id1222,n_id1223,None,None
l_612,n_id1224,n_id1225,None,None
l_613,n_id1226,n_id1227,None,None
l_614,n_id1228,n_id1229,None,None
l_615,n_id1230,n_id1231,None,None
l_616,n_id1232,n_id1233,None,None
l_617,n_id1234,n_id1235,20 mph,None
l_618,n_id1236,n_id1237,20 mph,None
l_619,n_id1238,n_id1239,20 mph,None
l_620,n_id1240,n_id1241,20 mph,None
l_621,n_id1242,n_id1243,20 mph,None
l_622,n_id1244,n_id1245,20 mph,None
l_623,n_id1246,n_id1247,20 mph,None
l_624,n_id1248,n_id1249,20 mph,None
l_625,n_id1250,n_id1251,20 mph,None
l_626,n_id1252,n_id1253,20 mph,None
l_627,n_id1254,n_id1255,20 mph,None
l_628,n_id1256,n_id1257,20 mph,None
l_629,n_id1258,n_id1259,20 mph,None
l_630,n_id1260,n_id1261,20 mph,None
l_631,n_id1262,n_id1263,20 mph,None
l_632,n_id1264,n_id1265,20 mph,None
l_633,n_id1266,n_id1267,20 mph,None
l_634,n_id1268,n_id1269,20 mph,None
l_635,n_id1270,n_id1271,20 mph,None
l_636,n_id1272,n_id1273,20 mph,None
l_637,n_id1274,n_id1275,20 mph,None
l_638,n_id1276,n_id1277,20 mph,None
l_639,n_id1278,n_id1279,20 mph,None
l_640,n_id1280,n_id1281,20 mph,None
l_641,n_id1282,n_id1283,20 mph,None
l_642,n_id1284,n_id1285,20 mph,None
l_643,n_id1286,n_id1287,20 mph,None
l_644,n_id1288,n_id1289,20 mph,None
l_645,n_id1290,n_id1291,20 mph,None
l_646,n_id1292,n_id1293,20 mph,None
l_647,n_id1294,n_id1295,20 mph,None
l_648,n_id1296,n_id1297,20 mph,None
l_649,n_id1298,n_id1299,20 mph,None
l_650,n_id1300,n_id1301,20 mph,None
l_651,n_id1302,n_id1303,20 mph,None
l_652,n_id1304,n_id1305,20 mph,None
l_653,n_id1306,n_id1307,20 mph,None
l_654,n_id1308,n_id1309,20 mph,None
l_655,n_id1310,n_id1311,30 mph,None
l_656,n_id1312,n_id1313,20 mph,None
l_657,n_id1314,n_id1315,20 mph,None
l_658,n_id1316,n_id1317,20 mph,None
l_659,n_id1318,n_id1319,20 mph,None
l_660,n_id1320,n_id1321,20 mph,None
l_661,n_id1322,n_id1323,20 mph,None
l_662,n_id1324,n_id1325,20 mph,None
