id,xpos,ypos
b_0,0.620902277161643,0.584611433819606
b_1,0.520289902068727,0.9205997017441607
b_2,0.6872617901287634,0.5604301042265759
b_3,0.7144731496978538,0.5379717100387759
b_4,0.7434511820004281,0.4281241135060422
b_5,0.5642999491453888,0.5448038913595799
b_6,0.7541131263879914,0.058058097972156775
b_7,0.4381237291475355,0.6726675005447814
b_8,0.4563097285941935,0.6725892405499778
b_9,0.6857998487906212,0.9812914424741135
b_10,0.7676176509624587,0.7513872619453931
b_11,0.5827584241180608,0.6146372364877507
b_12,0.6351596319375344,0.6466905486506116
b_13,0.791396585440854,0.507086293256841
b_14,0.5962472130053854,0.5482127592468521
b_15,0.6502368256045469,0.08377397495517447
b_16,0.6646833468483213,0.10824725173660177
b_17,0.6607337988698028,0.1593956200231429
b_18,0.7144975997986678,0.15649798509245005
b_19,0.6370350716889136,0.22216187967886913
b_20,0.7372132149651436,0.11673201396129496
b_21,0.7257408127503655,0.09745522050682198
b_22,0.7506041213418021,0.10496980105792653
b_23,0.7322273562949302,0.13574756248274444
b_24,0.6920285474529875,0.18160223536452436
b_25,0.7010298460731095,0.20629086103350214
b_26,0.6842356793247397,0.24498744498058878
b_27,0.7025954129643674,0.23931454466612134
b_28,0.6865373217288908,0.09560713309994295
b_29,0.6905511829641569,0.08404003611726962
b_30,0.6931926345376314,0.04901198492705661
b_31,0.612395341012302,0.24329891709916573
b_32,0.6546933707994291,0.5792025796649476
b_33,0.6428228420958155,0.925281274264887
b_34,0.13512031377584088,0.6824773692343862
b_35,0.7629468374435868,0.7453421288268257
b_36,0.5503724373986204,0.713645607556487
b_37,0.5601557870356371,0.7107964300489981
b_38,0.5781841460264037,0.7131132947061452
b_39,0.6271298085240707,0.6353031661292374
b_40,0.6204675645975068,0.628302374455362
b_41,0.4802725042654644,0.8036473631080122
b_42,0.4868519716900287,0.7998602063453037
b_43,0.38133348182623694,0.8522688073329547
b_44,0.38801534489641487,0.8549022761263835
b_45,0.3948709320651743,0.8558620207246626
b_46,0.40169183083654736,0.8585240899126347
b_47,0.4084191067051811,0.8613788010940611
b_48,0.4163473285248718,0.8623853052129551
b_49,0.37790558163024623,0.8274866455202508
b_50,0.3864371157036949,0.8289091578871661
b_51,0.3935315337672972,0.8302235485756491
b_52,0.400931551348085,0.8292242926153903
b_53,0.4082560308724559,0.8286702600746573
b_54,0.5490465619941018,0.7911683497049238
b_55,0.5449440442925834,0.7976260216372325
b_56,0.5405637998575172,0.8041365367369439
b_57,0.5346325136653169,0.8097342910294505
b_58,0.54700131008173,0.7631685147150657
b_59,0.5419637533708082,0.7694264116546049
b_60,0.5361573640949497,0.7742890748889906
b_61,0.5293816610018698,0.7798263861260761
b_62,0.4359381997098284,0.8526714593817053
b_63,0.42854034750603853,0.8548507762063305
b_64,0.515333074095401,0.7876470608508885
b_65,0.5068631714596349,0.7900493664654447
b_66,0.5004156222645195,0.7937709176010703
b_67,0.4938915586156992,0.7975690906027507
b_68,0.4734078965901064,0.8055252016282635
b_69,0.5187600123393776,0.8148480616512916
b_70,0.5118859946673396,0.8168477945035598
b_71,0.5052566787521711,0.8187572454333735
b_72,0.49854169792782055,0.8208540557558668
b_73,0.4908307630784623,0.8230631436705589
b_74,0.6103194833284065,0.8304639339839459
b_75,0.5827085533732662,0.7912852382602491
b_76,0.5874953309222075,0.8010809032622166
b_77,0.5895393042262937,0.7934938290258586
b_78,0.5937319303770684,0.7782156304755545
b_79,0.6058095846152318,0.7903962273445059
b_80,0.6008931907985335,0.7804238924926648
b_81,0.5986871032037278,0.7882606076558711
b_82,0.6175035822457422,0.8736854468953361
b_83,0.6081582852343098,0.838228080446932
b_84,0.6150622891844402,0.8402595976821926
b_85,0.6129097511403743,0.8481655209265058
b_86,0.6032403349875788,0.8282204611943667
b_87,0.6016050876593462,0.8058876772222425
b_88,0.6087154754961159,0.8080259608332969
b_89,0.6065786294585631,0.8158614269447787
b_90,0.5465711585869066,0.7107964294905025
b_91,0.9301601923015107,0.17707911273477794
b_92,0.4886064090273671,0.4900463585717333
b_93,0.422822513203601,0.433792349581399
