id,xpos,ypos,building
b_10,-2.1323177446950607,57.180235131469,detached
b_15,-2.13348475,57.17996920000001,detached
b_16,-2.1332927683835736,57.180026894948604,detached
b_17,-2.133038804803044,57.180066294119044,detached
b_26,-2.13333985,57.18110165000001,detached
b_27,-2.1336867,57.18084799999999,detached
b_28,-2.133843782431646,57.180953447363684,detached
b_29,-2.1339830461191625,57.181016667536234,detached
b_30,-2.1340857556187207,57.18104878228272,detached
b_31,-2.134320404359567,57.18107650485813,detached
b_32,-2.13538655,57.180402400000006,detached
b_33,-2.13554365,57.18049265,detached
b_40,-2.1340141,57.1798361,detached
b_41,-2.133967129531743,57.179153532511705,yes
b_42,-2.1350412330361426,57.180210199609,detached
b_45,-2.1348410769041157,57.18051588385589,detached
b_46,-2.1348363499999996,57.18062545000001,detached
b_47,-2.134146549999999,57.18078065000001,detached
b_48,-2.1340060500000004,57.18067525000001,detached
b_51,-2.13430411230157,57.18037741688762,detached
b_52,-2.135616036355521,57.17982896728884,detached
b_53,-2.1354307140873487,57.179977910633646,detached
b_54,-2.1352038525795525,57.17995328271122,detached
b_55,-2.134116322112378,57.18017977960075,detached
b_56,-2.1343601937796115,57.18019035159149,detached
b_57,-2.134573560563453,57.18017107504179,detached
b_58,-2.134911818436135,57.1799383660019,detached
b_59,-2.135010428462737,57.179815673022894,detached
b_60,-2.135075584080107,57.17969322528395,detached
b_61,-2.1349532000000013,57.17955915,detached
b_64,-2.1344332,57.17976230000001,detached
b_65,-2.134401,57.179858249999995,detached
b_66,-2.1319196499999995,57.180696149999996,apartments
b_67,-2.13134395,57.18085294999999,apartments
b_70,-2.130803710598237,57.18089215881305,apartments
b_71,-2.1308277902706196,57.180743580884446,apartments
b_72,-2.131106051400508,57.18043253649727,apartments
b_73,-2.1313804305747994,57.18043640591223,apartments
b_74,-2.131742933349749,57.1781268734469,detached
b_75,-2.1314371294233276,57.17782362421607,detached
b_76,-2.1316162394388654,57.177891871156646,detached
b_77,-2.1319370243233777,57.177402555381136,detached
b_78,-2.131865179372031,57.177908739325765,detached
b_79,-2.1320987865041214,57.17791497217665,detached
b_80,-2.132042024182401,57.17769825424439,detached
b_81,-2.132049249999999,57.1775666,detached
b_82,-2.1311794999999996,57.17760565,detached
b_83,-2.1314644999999994,57.17759175,detached
b_84,-2.1316715,57.177613199999996,detached
b_85,-2.1309635965955964,57.17739513338041,detached
b_86,-2.131214735499289,57.178155824400974,detached
b_87,-2.13120045,57.17801665,detached
b_88,-2.130965464414454,57.17788707632447,detached
b_89,-2.1307393800102763,57.17782842898785,detached
b_90,-2.1304558259550896,57.17789714561215,detached
b_91,-2.129096779991268,57.17748408342789,detached
