id,xpos,ypos,building
b_0,-2.132487823891501,57.18059349768215,semidetached_house
b_1,-2.13245845,57.18053319999999,semidetached_house
b_2,-2.1331326500000003,57.1805226,semidetached_house
b_3,-2.133131499999998,57.18057874999999,semidetached_house
b_4,-2.1329059527130934,57.18075429786227,semidetached_house
b_5,-2.1329738087602275,57.18070368523219,semidetached_house
b_6,-2.1329402173576057,57.18044069946962,semidetached_house
b_7,-2.1328955322122254,57.18039025096636,semidetached_house
b_8,-2.1319519,57.180330850000004,semidetached_house
b_9,-2.1320943073361645,57.18029826885771,semidetached_house
b_11,-2.1325089999999998,57.18020630000001,semidetached_house
b_12,-2.1326055500000005,57.18018455,semidetached_house
b_13,-2.13277765,57.180145399999994,semidetached_house
b_14,-2.1328669959197892,57.18011290954274,semidetached_house
b_18,-2.1325016500000005,57.1807436,semidetached_house
b_19,-2.132531844857317,57.180798173513246,semidetached_house
b_20,-2.131757693747682,57.18106828185088,semidetached_house
b_21,-2.131926899999999,57.18091194999999,semidetached_house
b_22,-2.1319760000000008,57.18096285,semidetached_house
b_23,-2.13252805,57.18092609999999,semidetached_house
b_24,-2.1325181000000017,57.18098225,semidetached_house
b_25,-2.132438427919915,57.18108621779484,semidetached_house
b_34,-2.1353923000000004,57.18074445,semidetached_house
b_35,-2.135455790137813,57.18069171717121,semidetached_house
b_36,-2.135277613513348,57.18080458087212,semidetached_house
b_37,-2.1352137747995767,57.18087013428797,semidetached_house
b_38,-2.1351903,57.180957549999995,semidetached_house
b_39,-2.135138916928755,57.18099920039198,semidetached_house
b_43,-2.1349744144743545,57.180344133251864,semidetached_house
b_44,-2.1349126,57.18039765000001,semidetached_house
b_49,-2.1341411,57.180482999999995,semidetached_house
b_50,-2.1340972000000002,57.18053325,semidetached_house
b_62,-2.134364238085923,57.17960711943447,semidetached_house
b_63,-2.134367625455392,57.17967580332202,semidetached_house
b_68,-2.1332327191252847,57.18036601141872,semidetached_house
b_69,-2.1333400282663497,57.180353344404054,semidetached_house
b_110,-2.1309052462678855,57.17811824870478,semidetached_house
b_111,-2.1307814,57.17811145,semidetached_house
b_158,-2.13255911247329,57.178916280080664,semidetached_house
b_159,-2.132704419353083,57.178911751371736,semidetached_house
b_162,-2.1317759731399737,57.178971194809336,semidetached_house
b_163,-2.13192655,57.1789621,semidetached_house
b_164,-2.1321789771548803,57.178944756000405,semidetached_house
b_165,-2.132304822843159,57.178936194029994,semidetached_house
b_166,-2.1327235990519897,57.17919222442828,semidetached_house
b_167,-2.1327779999999996,57.17935035,semidetached_house
b_168,-2.1326833470428417,57.17939621633312,semidetached_house
b_169,-2.13219655,57.1792375,semidetached_house
b_170,-2.1320457,57.1792475,semidetached_house
b_171,-2.1316492,57.1792394,semidetached_house
b_172,-2.1315308689629866,57.17921415513055,semidetached_house
b_173,-2.13134085,57.17912665000001,semidetached_house
b_174,-2.1312685999999994,57.179071449999995,semidetached_house
b_175,-2.1312341999999997,57.17891435000001,semidetached_house
b_176,-2.131961588874458,57.17947970897923,semidetached_house
b_177,-2.1318468999999998,57.17954340000001,semidetached_house
b_178,-2.1317378943116463,57.17967209875171,semidetached_house
b_179,-2.131604654277585,57.179704067844646,semidetached_house
b_180,-2.1303539000000002,57.17987415,semidetached_house
b_181,-2.130566386705594,57.17983547531583,semidetached_house
b_182,-2.13066535,57.1798167,semidetached_house
b_183,-2.1308635000000007,57.17976124999999,semidetached_house
b_184,-2.13102102280113,57.17975742501821,semidetached_house
b_185,-2.1312345326036852,57.1797174957622,semidetached_house
b_186,-2.1313348790828095,57.17969954007145,semidetached_house
b_187,-2.1303198835507207,57.17911013001978,semidetached_house
b_188,-2.1303979499999994,57.17905605,semidetached_house
b_189,-2.130802521076701,57.17901505528514,semidetached_house
b_190,-2.130831527515557,57.17922078126695,semidetached_house
b_191,-2.13079575,57.1791682,semidetached_house
b_192,-2.130209340323991,57.17925475754516,semidetached_house
b_193,-2.1302128182529025,57.17933702741105,semidetached_house
b_194,-2.1302704306196816,57.179491452431066,semidetached_house
b_195,-2.1303240000000003,57.179569199999996,semidetached_house
b_196,-2.1308040000000004,57.17948690000001,semidetached_house
b_197,-2.1309483499999997,57.17945855,semidetached_house
b_198,-2.1311657582309773,57.17940739702215,semidetached_house
b_199,-2.1312929692321583,57.17938959503615,semidetached_house
b_202,-2.128912409211544,57.17961297100823,semidetached_house
b_203,-2.1290036420831746,57.17960112917081,semidetached_house
b_204,-2.12916335,57.179568950000004,semidetached_house
b_205,-2.1292393499999998,57.179559149999996,semidetached_house
b_206,-2.1294198000000004,57.1795476,semidetached_house
b_207,-2.129565352675131,57.17952817610063,semidetached_house
b_212,-2.129748948379416,57.181077741552656,semidetached_house
b_213,-2.1296128720518364,57.181096371980075,semidetached_house
b_214,-2.129217930173753,57.18089340221127,semidetached_house
b_215,-2.1292668201718947,57.18097639626797,semidetached_house
