id,xpos,ypos
b_0,-2.096337507949815,57.14956356878267
b_1,-2.0948604226472414,57.150442593598115
b_2,-2.0929938942862276,57.149064647422264
b_3,-2.09316950762181,57.14876058318727
b_4,-2.093213697256538,57.148862414506056
b_5,-2.0938452888165537,57.14885791891188
b_6,-2.093917351350508,57.149104252012386
b_7,-2.093406690621719,57.149602906517735
b_8,-2.09338345,57.1492932
b_9,-2.0933896047366014,57.14939320602587
b_10,-2.093243063206324,57.14921058756872
b_11,-2.0939615266632434,57.14940621934085
b_12,-2.09337642882069,57.14950300209059
b_13,-2.093531070420986,57.150308542147954
b_14,-2.0924472513847556,57.14999800386646
b_15,-2.094568873584248,57.14878877107213
b_16,-2.0959500138557505,57.1487649343064
b_17,-2.095431246969237,57.14979874798105
b_18,-2.093187210377765,57.150570949520635
b_19,-2.0950224621536115,57.14979390999278
b_20,-2.0945368868072123,57.149733061416946
b_21,-2.094178923096362,57.15043705673241
b_22,-2.093688575529852,57.150590447851464
b_23,-2.093566550000001,57.15010630000001
b_24,-2.0935905500000005,57.1502099
b_25,-2.0927750729734886,57.148837181946355
b_26,-2.09425248787819,57.14901423102791
b_27,-2.094999595122992,57.14893269421533
b_28,-2.092400623510489,57.1504795697442
b_29,-2.0937419822808723,57.15046843517915
b_30,-2.092742290927634,57.14959406663126
b_31,-2.0925371036051263,57.14939620582117
b_32,-2.095341052641532,57.14955866059287
b_33,-2.0951308005714395,57.15001068323842
b_34,-2.093918669567219,57.149190882112485
b_35,-2.0937323155527747,57.148990967048746
b_36,-2.0934293077293242,57.14968745008473
